key,0,1,2,3,4,5,6,7,8
#,Name,Icon,Quest{Required}[0],Quest{Required}[1],Quest{Required}[2],Quest{Required}[3],AcceptTalk,FailTalk,
int32,str,Image,Quest,Quest,Quest,Quest,DefaultTalk,DefaultTalk,bit&01
262144,"","ui/icon/000000/000000.tex",,,,,,,False
262145,"","ui/icon/000000/000000.tex",,,,,,,False
262151,"アイテムの購入","ui/icon/000000/000000.tex",,,,,,,True
262152,"服（ララフェル用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262153,"服（ルガディン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262154,"服（エレゼン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262155,"服（ヒューラン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262156,"服（ミコッテ用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262157,"","ui/icon/000000/000000.tex",,,,,,,True
262158,"アイテムの購入","ui/icon/000000/000000.tex",,,,,,,True
262159,"服（ララフェル用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262160,"服（ルガディン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262161,"服（エレゼン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262162,"服（ヒューラン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262163,"服（ミコッテ用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262164,"アイテムの購入","ui/icon/000000/000000.tex",,,,,,,True
262165,"服（ララフェル用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262166,"服（ルガディン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262167,"服（エレゼン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262168,"服（ヒューラン用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262169,"服（ミコッテ用）の取引","ui/icon/000000/000000.tex",,,,,,,True
262170,"","ui/icon/000000/000000.tex",,,,,,,True
262171,"","ui/icon/000000/000000.tex",,,,,,,True
262172,"","ui/icon/000000/000000.tex",,,,,,,True
262173,"","ui/icon/000000/000000.tex",,,,,,,True
262174,"","ui/icon/000000/000000.tex",,,,,,,True
262175,"","ui/icon/000000/000000.tex",,,,,,,True
262176,"","ui/icon/000000/000000.tex",,,,,,,True
262177,"","ui/icon/000000/000000.tex",,,,,,,True
262178,"アクセサリ（戦闘）の取引","ui/icon/000000/000000.tex",,,,,,,True
262179,"アクセサリ（製作・採集）の取引","ui/icon/000000/000000.tex",,,,,,,True
262180,"","ui/icon/000000/000000.tex",,,,,,,True
262181,"アイテムの購入","ui/icon/000000/000000.tex",,,,,,,True
262182,"","ui/icon/000000/000000.tex",,,,,,,True
262183,"道具の取引","ui/icon/000000/000000.tex",,,,,,,True
262184,"武器の取引","ui/icon/000000/000000.tex",,,,,,,True
262185,"","ui/icon/000000/000000.tex",,,,,,,True
262186,"防具（戦闘）の取引","ui/icon/000000/000000.tex",,,,,,,True
262187,"防具（製作・採集）の取引","ui/icon/000000/000000.tex",,,,,,,True
262188,"アクセサリ（戦闘）の取引","ui/icon/000000/000000.tex",,,,,,,True
262189,"アクセサリ（製作・採集）の取引","ui/icon/000000/000000.tex",,,,,,,True
262190,"","ui/icon/000000/000000.tex",,,,,,,True
262191,"アイテムの購入","ui/icon/000000/000000.tex",,,,,,,True
262192,"","ui/icon/000000/000000.tex",,,,,,,True
262193,"道具の取引","ui/icon/000000/000000.tex",,,,,,,True
262194,"武器の取引","ui/icon/000000/000000.tex",,,,,,,True
262195,"防具（戦闘）の取引","ui/icon/000000/000000.tex",,,,,,,True
262196,"防具（製作・採集）の取引","ui/icon/000000/000000.tex",,,,,,,True
262197,"","ui/icon/000000/000000.tex",,,,,,,True
262198,"アクセサリ（戦闘）の取引","ui/icon/000000/000000.tex",,,,,,,True
262199,"アクセサリ（製作・採集）の取引","ui/icon/000000/000000.tex",,,,,,,True
262200,"","ui/icon/000000/000000.tex",,,,,,,True
262201,"アイテムの購入","ui/icon/000000/000000.tex",,,,,,,True
262202,"","ui/icon/000000/000000.tex",,,,,,,True
262203,"道具の取引","ui/icon/000000/000000.tex",,,,,,,True
262204,"武器の取引","ui/icon/000000/000000.tex",,,,,,,True
262205,"防具（戦闘）の取引","ui/icon/000000/000000.tex",,,,,,,True
262206,"防具（製作・採集）の取引","ui/icon/000000/000000.tex",,,,,,,True
262207,"","ui/icon/000000/000000.tex",,,,,,,True
262208,"","ui/icon/000000/000000.tex",,,,,,,True
262209,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262210,"","ui/icon/000000/000000.tex",,,,,,,True
262211,"","ui/icon/000000/000000.tex",,,,,,,True
262212,"アクセサリ（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262213,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262214,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262215,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262216,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262217,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262218,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262219,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262221,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262222,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262223,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262224,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262225,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262226,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262227,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262228,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262229,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262230,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262231,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262232,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262233,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262234,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262235,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262236,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262237,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262238,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262239,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262240,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262241,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262242,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262243,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262244,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262245,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262246,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262247,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262248,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262249,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262250,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262251,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262252,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262253,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262254,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262255,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262256,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262257,"","ui/icon/000000/000000.tex",,,,,,,True
262258,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262259,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262260,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262261,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262262,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262263,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262264,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262265,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262266,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262267,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262268,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262269,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262270,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262271,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262272,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262273,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262274,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262275,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262276,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262277,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262278,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262279,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262280,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262281,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
262282,"道具の購入","ui/icon/000000/000000.tex",,,,,,,True
262283,"武器の購入","ui/icon/000000/000000.tex",,,,,,,True
262284,"防具（戦闘）の購入","ui/icon/000000/000000.tex",,,,,,,True
262285,"防具（製作・採集）の購入","ui/icon/000000/000000.tex",,,,,,,True
