key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,,Model,BNpcName,BNpcCustomize,NpcEquip,Action[0],Action[1],Action[2],Action[3],Action[4],Action[5],,,Speed,Scale,IsPvP,IsEvent,PlayerCamera,StartVFX,EndVFX,,,,RPParameter
int32,byte,ModelChara,BNpcName,BNpcCustomize,NpcEquip,Action,Action,Action,Action,Action,Action,bit&01,byte,single,single,bit&02,bit&04,bit&08,VFX,VFX,uint32,sbyte,uint16,RPParameter
0,0,"ModelChara#0","","BNpcCustomize#0","NpcEquip#0","","","","","","",False,0,0,1,False,False,True,"","",0,0,0,""
1,1,"ModelChara#639","","BNpcCustomize#0","NpcEquip#0","","","","","","",False,0,0,1,False,False,True,"toad_smk0f","toad_smk0f",0,0,0,""
2,1,"ModelChara#738","","BNpcCustomize#0","NpcEquip#0","ガマファイア","","","","","",False,0,0,1,False,False,True,"toad_smk0f","toad_smk0f",0,0,0,""
3,1,"ModelChara#868","","BNpcCustomize#0","NpcEquip#0","","","","","","",False,0,0,1,False,False,True,"toad_smk0f","toad_smk0f",0,0,0,""
4,1,"ModelChara#344","","BNpcCustomize#0","NpcEquip#0","","","","","","",False,0,0,1,False,False,True,"toad_smk0f","toad_smk0f",0,0,0,""
5,1,"ModelChara#869","","BNpcCustomize#0","NpcEquip#0","","","","","","",False,0,0,1,False,False,True,"toad_smk0f","toad_smk0f",0,0,0,""
6,1,"ModelChara#836","","BNpcCustomize#0","NpcEquip#0","カッパー","","","","","",False,0,0,1,False,False,True,"toad_smk0f","toad_smk0f",0,0,0,""
7,1,"ModelChara#0","","BNpcCustomize#465","NpcEquip#248","おまじない","","","","","",False,0,0,1,False,True,True,"toad_smk0f","toad_smk0f",0,0,0,""
8,1,"ModelChara#0","","BNpcCustomize#466","NpcEquip#249","おまじない","","","","","",False,0,0,1,False,True,True,"toad_smk0f","toad_smk0f",0,0,0,""
9,1,"ModelChara#0","","BNpcCustomize#467","NpcEquip#250","おまじない","","","","","",False,0,0,1,False,True,True,"toad_smk0f","toad_smk0f",0,0,0,""
10,1,"ModelChara#0","","BNpcCustomize#468","NpcEquip#251","おまじない","","","","","",False,0,0,1,False,True,True,"toad_smk0f","toad_smk0f",0,0,0,""
11,1,"ModelChara#0","","BNpcCustomize#469","NpcEquip#252","おまじない","","","","","",False,0,0,1,False,True,True,"toad_smk0f","toad_smk0f",0,0,0,""
