key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,ExpToNext,AdditionalActions,ApplyAction,ScaledQuestXP,MpModifier,BaseSpeed,LevelModifier,QuestExpModifier,HpModifier,HuntingLogExpReward,MonsterNoteSeals,ItemLevelSync,ProperDungeon,ProperGuildOrder,CraftingLevel
int32,int32,byte,byte,uint16,int32,int32,int32,byte,uint16,int32,int32,uint16,uint16,uint16,uint16
0,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
1,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
2,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
3,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
4,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
5,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
6,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
7,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
8,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
9,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
10,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
11,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
12,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
13,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
14,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
15,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
16,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
17,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
18,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
19,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
20,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
21,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
22,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
23,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
24,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
25,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
26,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
27,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
28,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
29,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
30,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
31,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
32,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
33,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
34,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
