key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,Reward{Type}[0],Reward{Item}[0],Reward{HQ}[0],Reward{Quantity}[0],Reward{Option}[0],Reward{Type}[1],Reward{Item}[1],Reward{HQ}[1],Reward{Quantity}[1],Reward{Option}[1],Reward{Item}[2],Reward{HQ}[2],Reward{Quantity}[2]
int32,byte,Row,bit&01,uint16,WeeklyBingoRewardData,byte,Row,bool,uint16,WeeklyBingoRewardData,Item,bool,uint16
0,0,,False,0,"WeeklyBingoRewardData#0",0,,False,0,"WeeklyBingoRewardData#0","",False,0
1,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",0,,False,0,"WeeklyBingoRewardData#0","",False,0
2,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
3,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
4,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
5,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
6,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
7,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
8,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
9,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
10,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
11,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
12,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
13,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
14,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
15,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
16,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
17,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
18,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
19,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
20,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
21,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
22,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
23,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
24,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
25,2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","古ぼけた地図G10",False,1
26,1,"古ぼけた地図G8",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:虚構",False,100
27,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クラスター",False,4
28,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・アリゼー",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
29,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
30,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・サンクレッド",False,1,"WeeklyBingoRewardData#1","不活性クラスター",False,4
31,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
32,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"マメット・エスティニアン",False,1,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
33,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クラスター",False,4
34,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・アリゼー",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
35,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
36,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・サンクレッド",False,1,"WeeklyBingoRewardData#1","不活性クラスター",False,4
37,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
38,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"マメット・エスティニアン",False,1,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
39,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クラスター",False,4
40,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・アリゼー",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
41,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
42,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・サンクレッド",False,1,"WeeklyBingoRewardData#1","不活性クラスター",False,4
43,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
44,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"マメット・エスティニアン",False,1,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
45,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クラスター",False,4
46,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・アリゼー",False,1,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
47,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
48,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"ニュー・サンクレッド",False,1,"WeeklyBingoRewardData#1","不活性クラスター",False,4
49,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#2","アラガントームストーン:創世",False,50
50,1,"デミマハマター",False,4,"WeeklyBingoRewardData#0",1,"マメット・エスティニアン",False,1,"WeeklyBingoRewardData#1","不活性クリスタル",False,2
51,1,"MGPゴールドカード",False,1,"WeeklyBingoRewardData#0",1,"マハマター",False,8,"WeeklyBingoRewardData#1","不活性クラスター",False,4
52,1,"クロのぬいぐるみ",False,1,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,1,"WeeklyBingoRewardData#1","不活性クリスタル",False,6
