key,0,1,2,3,4,5,6
#,Name,Description,Icon,FCRank,Cost,Order,Purchasable
int32,str,str,Image,FCRank,uint32,byte,bit&01
0,"","",0,0,0,0,True
1,"","",64213,5,3500,1,True
2,"","",64215,5,3500,2,True
3,"","",64216,5,3500,3,True
4,"","",64214,5,2800,4,True
5,"","",64217,5,2800,5,True
6,"","",64218,5,2800,6,True
7,"","",64201,5,1750,8,True
8,"","",64202,5,2800,9,True
9,"","",64203,5,2800,10,True
10,"","",64204,5,2800,11,True
11,"","",64205,5,2800,12,True
12,"","",64209,5,3500,13,True
13,"","",64208,5,2800,14,True
14,"","",64210,5,3500,15,True
15,"","",64211,5,2800,16,True
16,"","",64212,5,3500,17,True
17,"","",64219,5,2800,7,True
18,"","",0,0,0,0,False
19,"","",0,0,0,0,False
20,"","",0,0,0,0,False
21,"","",0,0,0,0,False
22,"","",0,0,0,0,False
23,"","",0,0,0,0,False
24,"","",0,0,0,0,False
25,"","",0,0,0,0,False
26,"","",0,0,0,0,False
27,"","",0,0,0,0,False
28,"","",0,0,0,0,False
29,"","",0,0,0,0,False
30,"","",0,0,0,0,False
31,"","",64238,8,7000,18,True
32,"","",64240,8,7000,19,True
33,"","",64241,8,7000,20,True
34,"","",64239,8,7000,21,True
35,"","",64242,8,7000,22,True
36,"","",64243,8,7000,23,True
37,"","",64226,8,3500,25,True
38,"","",64227,8,7000,26,True
39,"","",64228,8,7000,27,True
40,"","",64229,8,7000,28,True
41,"","",64230,8,7000,29,True
42,"","",64234,8,7000,30,True
43,"","",64233,8,7000,31,True
44,"","",64235,8,7000,32,True
45,"","",64236,8,5600,33,True
46,"","",64237,8,7000,34,True
47,"","",64244,8,7000,24,True
48,"","",0,0,0,0,False
49,"","",0,0,0,0,False
50,"","",0,0,0,0,False
51,"","",0,0,0,0,False
52,"","",0,0,0,0,False
53,"","",0,0,0,0,False
54,"","",0,0,0,0,False
55,"","",0,0,0,0,False
56,"","",0,0,0,0,False
57,"","",0,0,0,0,False
58,"","",0,0,0,0,False
59,"","",0,0,0,0,False
60,"","",0,0,0,0,False
61,"","",64263,8,10500,35,False
62,"","",64265,8,10500,36,False
63,"","",64266,8,10500,37,False
64,"","",64264,8,10500,38,False
65,"","",64267,8,10500,39,False
66,"","",64268,8,10500,40,False
67,"","",0,0,0,0,False
68,"","",64252,8,10500,43,False
69,"","",64253,8,10500,44,False
70,"","",64254,8,10500,45,False
71,"","",64255,8,10500,46,False
72,"","",64259,8,10500,47,False
73,"","",64258,8,10500,48,False
74,"","",64260,8,10500,49,False
75,"","",0,0,0,0,False
76,"","",64262,8,10500,51,False
77,"","",64269,8,10500,41,False
78,"","",0,0,0,0,False
79,"","",0,0,0,0,False
80,"","",0,0,0,0,False
81,"","",0,0,0,0,False
82,"","",0,0,0,0,False
83,"","",0,0,0,0,False
84,"","",0,0,0,0,False
85,"","",0,0,0,0,False
86,"","",0,0,0,0,False
87,"","",0,0,0,0,False
88,"","",0,0,0,0,False
89,"","",0,0,0,0,False
90,"","",0,0,0,0,False
91,"","",0,0,0,0,False
92,"","",0,0,0,0,False
93,"","",0,0,0,0,False
94,"","",0,0,0,0,False
95,"","",0,0,0,0,False
96,"","",0,0,0,0,False
97,"","",0,0,0,0,False
98,"","",0,0,0,0,False
99,"","",0,0,0,0,False
100,"","",0,0,0,0,False
