key,0,1,2,3,4,5,6,7,8,9
#,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3],Reward,Name
int32,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,byte,byte,byte,byte,uint32,str
10001,1,0,0,0,3,0,0,0,75,"0"
10002,206,0,0,0,3,0,0,0,180,"0"
10003,208,0,0,0,3,0,0,0,360,"0"
10004,209,0,0,0,3,0,0,0,410,"0"
10005,211,0,0,0,3,0,0,0,530,"0"
10006,213,0,0,0,3,0,0,0,980,"0"
10007,210,0,0,0,3,0,0,0,1100,"0"
10008,217,0,0,0,3,0,0,0,1300,"0"
10009,220,0,0,0,3,0,0,0,1600,"0"
10010,223,224,0,0,3,3,0,0,1700,"0"
10011,228,229,0,0,3,3,0,0,2300,"0"
10012,227,0,0,0,3,0,0,0,3200,"0"
10013,230,0,0,0,3,0,0,0,4000,"0"
10014,232,0,0,0,3,0,0,0,4500,"0"
10015,234,0,0,0,3,0,0,0,5000,"0"
10016,235,0,0,0,3,0,0,0,5300,"0"
10017,237,0,0,0,3,0,0,0,5500,"0"
10018,240,0,0,0,3,0,0,0,5700,"0"
10019,238,0,0,0,3,0,0,0,5900,"0"
10020,242,244,0,0,3,3,0,0,6100,"0"
10021,32,137,0,0,4,3,0,0,6300,"0"
10022,245,0,0,0,4,0,0,0,6500,"0"
10023,138,0,0,0,4,0,0,0,6700,"0"
10024,34,0,0,0,4,0,0,0,6900,"0"
10025,150,0,0,0,4,0,0,0,7100,"0"
10026,252,0,0,0,4,0,0,0,7600,"0"
10027,255,0,0,0,4,0,0,0,8600,"0"
10028,158,0,0,0,4,0,0,0,9400,"0"
10029,161,0,0,0,4,0,0,0,9700,"0"
10030,37,38,0,0,4,3,0,0,10000,"0"
10031,165,42,0,0,4,3,0,0,11000,"0"
10032,39,166,0,0,4,3,0,0,12000,"0"
10033,265,0,0,0,4,0,0,0,12500,"0"
10034,171,0,0,0,4,0,0,0,13000,"0"
10035,64,0,0,0,4,0,0,0,13500,"0"
10036,271,0,0,0,4,0,0,0,14000,"0"
10037,294,0,0,0,4,0,0,0,14500,"0"
10038,176,0,0,0,4,0,0,0,15000,"0"
10039,301,0,0,0,4,0,0,0,16000,"0"
10040,306,66,0,0,4,3,0,0,16500,"0"
10041,67,72,0,0,5,2,0,0,17000,"0"
10042,179,184,0,0,5,2,0,0,17500,"0"
10043,73,187,0,0,5,2,0,0,18000,"0"
10044,319,0,0,0,5,0,0,0,18500,"0"
10045,311,0,0,0,5,0,0,0,19000,"0"
10046,313,0,0,0,3,0,0,0,19500,"0"
10047,280,0,0,0,5,0,0,0,20000,"0"
10048,200,0,0,0,5,0,0,0,20500,"0"
10049,290,0,0,0,5,0,0,0,21000,"0"
10050,332,90,0,0,5,5,0,0,21500,"0"
