key,0,1,2,3,4,5
#,FeatureID,Icon,Data,IsPurchasable,,
int32,byte,Image,uint16,bit&01,uint32,uint32
0,0,,0,False,0,0
1,1,"ui/icon/131000/131001.tex",0,False,0,0
2,2,"ui/icon/131000/131002.tex",0,False,0,0
3,3,"ui/icon/131000/131003.tex",0,False,0,0
4,4,"ui/icon/131000/131004.tex",0,False,0,0
5,5,"ui/icon/131000/131005.tex",0,False,0,0
6,6,"ui/icon/131000/131006.tex",0,False,0,0
7,7,"ui/icon/131000/131007.tex",0,False,0,0
8,8,"ui/icon/131000/131008.tex",0,False,0,0
9,9,"ui/icon/131000/131009.tex",0,False,0,0
10,10,"ui/icon/131000/131010.tex",0,False,0,0
11,11,"ui/icon/131000/131011.tex",0,False,0,0
12,12,"ui/icon/131000/131012.tex",0,False,0,0
13,13,"ui/icon/131000/131013.tex",0,False,0,0
14,14,"ui/icon/131000/131014.tex",0,False,0,0
15,51,"ui/icon/131000/131015.tex",0,False,0,0
16,52,"ui/icon/131000/131016.tex",0,False,0,0
17,53,"ui/icon/131000/131017.tex",0,False,0,0
18,54,"ui/icon/131000/131018.tex",0,False,0,0
19,101,"ui/icon/131000/131020.tex",303,True,640,14970
20,104,"ui/icon/131000/131022.tex",0,False,0,0
21,102,"ui/icon/131000/131021.tex",0,False,0,0
22,105,"ui/icon/131000/131023.tex",0,False,0,0
23,61,"ui/icon/131000/131019.tex",228,True,641,0
24,106,"ui/icon/131000/131024.tex",0,False,0,0
25,107,"ui/icon/131000/131025.tex",0,False,0,0
26,108,"ui/icon/131000/131026.tex",0,False,0,0
27,111,"ui/icon/131000/131028.tex",0,False,0,0
28,112,"ui/icon/131000/131029.tex",243,True,639,10084
29,109,"ui/icon/131000/131027.tex",0,False,0,0
30,114,"ui/icon/131000/131030.tex",0,False,0,0
31,116,"ui/icon/131000/131031.tex",0,False,0,0
32,117,"ui/icon/131000/131032.tex",0,False,0,0
33,120,"ui/icon/131000/131033.tex",0,False,0,0
34,121,"ui/icon/131000/131034.tex",0,False,0,0
35,125,"ui/icon/131000/131035.tex",287,True,639,13704
36,129,"ui/icon/131000/131036.tex",286,True,639,13705
37,122,"ui/icon/131000/131037.tex",0,False,0,0
38,126,"ui/icon/131000/131038.tex",0,False,0,0
39,127,"ui/icon/131000/131039.tex",0,False,0,0
40,131,"ui/icon/131000/131040.tex",0,False,0,0
41,132,"ui/icon/131000/131041.tex",0,False,0,0
42,124,"ui/icon/131000/131042.tex",0,False,0,0
43,135,"ui/icon/131000/131043.tex",0,False,0,0
44,136,"ui/icon/131000/131044.tex",0,False,0,0
45,137,"ui/icon/131000/131045.tex",0,False,0,0
46,143,"ui/icon/131000/131046.tex",321,True,639,15612
47,123,"ui/icon/131000/131047.tex",0,False,0,0
48,141,"ui/icon/131000/131048.tex",0,False,0,0
49,142,"ui/icon/131000/131049.tex",0,False,0,0
50,145,"ui/icon/131000/131050.tex",302,True,639,16703
51,146,"ui/icon/131000/131051.tex",0,False,0,0
52,148,"ui/icon/131000/131052.tex",0,False,0,0
53,147,"ui/icon/131000/131053.tex",337,True,639,17471
54,150,"ui/icon/131000/131054.tex",338,True,639,17472
55,140,"ui/icon/131000/131055.tex",0,False,0,0
56,149,"ui/icon/131000/131056.tex",0,False,0,0
57,138,"ui/icon/131000/131057.tex",0,False,0,0
58,151,"ui/icon/131000/131058.tex",0,False,0,0
59,152,"ui/icon/131000/131059.tex",0,False,0,0
60,153,"ui/icon/131000/131060.tex",0,False,0,0
61,154,"ui/icon/131000/131061.tex",267,True,639,23369
62,155,"ui/icon/131000/131062.tex",268,True,639,23370
63,113,"ui/icon/131000/131063.tex",399,True,639,24232
64,156,"ui/icon/131000/131064.tex",397,True,639,24233
