key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,,Name,Icon,Action,StackSize,,Quest,CastTime,CastTimeline,Timeline
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,bit&01,str,Image,Action,byte,byte,Quest,byte,EventItemCastTimeline,byte
2000000,"",0,"",0,0,1,0,0,False,"",0,0,1,1,0,0,0,0
2000021,"",0,"",0,0,1,0,0,False,"",22623,1,1,1,0,3,0,0
2000024,"",0,"",0,0,1,0,0,False,"",21002,1,1,1,65563,3,0,0
2000028,"",0,"",0,0,1,0,0,False,"",25919,1,1,1,65562,3,0,0
2000029,"",0,"",0,0,1,0,0,False,"",21007,1,1,1,65568,3,0,0
2000038,"",0,"",0,0,1,0,0,False,"",22624,1,1,1,66704,3,0,0
2000039,"",0,"",0,0,1,0,0,False,"",22625,1,1,1,66704,3,0,0
2000040,"",0,"",0,0,1,0,0,False,"",22626,1,1,1,66704,3,0,0
2000041,"",0,"",0,0,1,0,0,False,"",30351,1,5,1,66705,3,0,0
2000042,"",0,"",0,0,1,0,0,False,"",24153,1,1,1,66706,5,0,0
2000043,"",0,"",0,0,1,0,0,False,"",30351,1,1,1,66706,3,0,0
2000044,"",0,"",0,0,1,0,0,False,"",22647,1,1,1,66706,3,0,0
2000045,"",0,"",0,0,1,0,0,False,"",22624,1,1,1,66700,3,0,0
2000046,"",0,"",0,0,1,0,0,False,"",22625,1,1,1,66700,3,0,0
2000047,"",0,"",0,0,1,0,0,False,"",22626,1,1,1,66700,3,0,0
2000048,"",0,"",0,0,1,0,0,False,"",30351,1,5,1,66701,3,0,0
2000049,"",0,"",0,0,1,0,0,False,"",24153,1,1,1,66702,5,0,0
2000050,"",0,"",0,0,1,0,0,False,"",30351,1,1,1,66702,3,0,0
2000051,"",0,"",0,0,1,0,0,False,"",22646,1,1,1,66702,3,0,0
2000052,"",0,"",0,0,1,0,0,False,"",22624,1,1,1,66708,3,0,0
2000053,"",0,"",0,0,1,0,0,False,"",22625,1,1,1,66708,3,0,0
